
/home/runner/work/exp-operation-of-agricultural-drone-iitd/exp-operation-of-agricultural-drone-iitd/experiment/simulation/jquery/1.11.2/draganddrop.js
  111:6   warning  Unnecessary semicolon                                                      no-extra-semi
  2:11923  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:12327  warning  Empty block statement                                                      no-empty
  2:12890  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:13202  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:15025  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:15263  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:15411  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:15749  warning  Do not access Object.prototype method 'hasOwnProperty' from target object  no-prototype-builtins
  2:16454  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:18840  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:18929  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:18989  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:20255  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:20830  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:20938  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  2:22957  warning  Unnecessary escape character: \[                                           no-useless-escape
  2:22959  warning  Unnecessary escape character: \.                                           no-useless-escape
  2:30650  warning  Empty block statement                                                      no-empty
  2:31892  warning  Empty block statement                                                      no-empty
  3:4950   warning  Empty block statement                                                      no-empty
  3:7951   warning  Empty block statement                                                      no-empty
  3:10571  warning  Empty block statement                                                      no-empty
  3:19860  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  3:19987  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  3:22132  warning  Empty block statement                                                      no-empty
  3:26318  warning  Move function declaration to function body root                            no-inner-declarations
  3:30101  warning  Empty block statement                                                      no-empty
  4:2091   warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  4:4545   warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  4:10638  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  4:12534  warning  Empty block statement                                                      no-empty
  4:13833  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  4:14277  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  4:14691  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  4:15794  warning  Unnecessary escape character: \/                                           no-useless-escape
  4:16285  warning  'ActiveXObject' is not defined                                             no-undef
  4:16669  warning  Unnecessary escape character: \/                                           no-useless-escape
  4:16681  warning  Unnecessary escape character: \/                                           no-useless-escape
  4:16980  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  4:19469  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  4:21369  warning  Expected a conditional expression and instead saw an assignment            no-cond-assign
  4:26181  warning  Empty block statement                                                      no-empty
  4:26258  warning  Empty block statement                                                      no-empty
  4:31572  warning  'define' is not defined                                                    no-undef
  4:31584  warning  'define' is not defined                                                    no-undef

/home/runner/work/exp-operation-of-agricultural-drone-iitd/exp-operation-of-agricultural-drone-iitd/experiment/simulation/main.js
    26:10  warning  'navNextstrt' is defined but never used       no-unused-vars
    37:14  warning  'navNext0' is defined but never used          no-unused-vars
    46:14  warning  'navNext2' is defined but never used          no-unused-vars
    52:1   warning  '$' is not defined                            no-undef
    53:2   warning  '$' is not defined                            no-undef
    60:5   warning  '$' is not defined                            no-undef
    66:7   warning  '$' is not defined                            no-undef
    67:3   warning  '$' is not defined                            no-undef
    73:7   warning  '$' is not defined                            no-undef
    80:3   warning  '$' is not defined                            no-undef
    81:3   warning  '$' is not defined                            no-undef
    88:3   warning  '$' is not defined                            no-undef
    94:3   warning  '$' is not defined                            no-undef
    95:3   warning  '$' is not defined                            no-undef
   102:3   warning  '$' is not defined                            no-undef
   108:7   warning  '$' is not defined                            no-undef
   109:3   warning  '$' is not defined                            no-undef
   115:7   warning  '$' is not defined                            no-undef
   123:7   warning  '$' is not defined                            no-undef
   124:3   warning  '$' is not defined                            no-undef
   130:7   warning  '$' is not defined                            no-undef
   138:7   warning  '$' is not defined                            no-undef
   139:3   warning  '$' is not defined                            no-undef
   145:7   warning  '$' is not defined                            no-undef
   152:7   warning  '$' is not defined                            no-undef
   153:3   warning  '$' is not defined                            no-undef
   159:7   warning  '$' is not defined                            no-undef
   166:7   warning  '$' is not defined                            no-undef
   167:3   warning  '$' is not defined                            no-undef
   173:7   warning  '$' is not defined                            no-undef
   180:7   warning  '$' is not defined                            no-undef
   181:3   warning  '$' is not defined                            no-undef
   187:7   warning  '$' is not defined                            no-undef
   196:10  warning  'navNext3' is defined but never used          no-unused-vars
   205:10  warning  'navNext3_skp' is defined but never used      no-unused-vars
   222:5   warning  '$' is not defined                            no-undef
   228:1   warning  '$' is not defined                            no-undef
   234:10  warning  'navNext3a' is defined but never used         no-unused-vars
   248:5   warning  '$' is not defined                            no-undef
   254:1   warning  '$' is not defined                            no-undef
   259:10  warning  'ok_cplate' is defined but never used         no-unused-vars
   264:3   warning  '$' is not defined                            no-undef
   270:4   warning  '$' is not defined                            no-undef
   293:5   warning  '$' is not defined                            no-undef
   306:22  warning  'event' is defined but never used             no-unused-vars
   306:29  warning  'droptarget' is defined but never used        no-unused-vars
   309:3   warning  '$' is not defined                            no-undef
   324:4   warning  '$' is not defined                            no-undef
   332:5   warning  '$' is not defined                            no-undef
   344:22  warning  'event' is defined but never used             no-unused-vars
   344:29  warning  'droptarget' is defined but never used        no-unused-vars
   347:3   warning  '$' is not defined                            no-undef
   361:5   warning  '$' is not defined                            no-undef
   362:5   warning  '$' is not defined                            no-undef
   363:5   warning  '$' is not defined                            no-undef
   373:5   warning  '$' is not defined                            no-undef
   377:5   warning  '$' is not defined                            no-undef
   386:24  warning  'event' is defined but never used             no-unused-vars
   386:31  warning  'droptarget' is defined but never used        no-unused-vars
   389:3   warning  '$' is not defined                            no-undef
   409:5   warning  '$' is not defined                            no-undef
   415:5   warning  '$' is not defined                            no-undef
   424:28  warning  'event' is defined but never used             no-unused-vars
   424:35  warning  'droptarget' is defined but never used        no-unused-vars
   427:3   warning  '$' is not defined                            no-undef
   455:20  warning  'event' is defined but never used             no-unused-vars
   455:27  warning  'droptarget' is defined but never used        no-unused-vars
   458:3   warning  '$' is not defined                            no-undef
   482:5   warning  '$' is not defined                            no-undef
   486:5   warning  '$' is not defined                            no-undef
   495:20  warning  'event' is defined but never used             no-unused-vars
   495:27  warning  'droptarget' is defined but never used        no-unused-vars
   498:3   warning  '$' is not defined                            no-undef
   519:7   warning  '$' is not defined                            no-undef
   526:9   warning  '$' is not defined                            no-undef
   538:11  warning  '$' is not defined                            no-undef
   543:11  warning  '$' is not defined                            no-undef
   555:20  warning  'event' is defined but never used             no-unused-vars
   555:27  warning  'droptarget' is defined but never used        no-unused-vars
   558:3   warning  '$' is not defined                            no-undef
   581:11  warning  '$' is not defined                            no-undef
   586:11  warning  '$' is not defined                            no-undef
   594:25  warning  'event' is defined but never used             no-unused-vars
   594:32  warning  'droptarget' is defined but never used        no-unused-vars
   597:3   warning  '$' is not defined                            no-undef
   617:11  warning  '$' is not defined                            no-undef
   622:11  warning  '$' is not defined                            no-undef
   632:26  warning  'event' is defined but never used             no-unused-vars
   632:33  warning  'droptarget' is defined but never used        no-unused-vars
   635:3   warning  '$' is not defined                            no-undef
   658:5   warning  '$' is not defined                            no-undef
   663:5   warning  '$' is not defined                            no-undef
   672:10  warning  'poweron_battery1' is defined but never used  no-unused-vars
   683:5   warning  '$' is not defined                            no-undef
   684:5   warning  '$' is not defined                            no-undef
   691:7   warning  '$' is not defined                            no-undef
   699:10  warning  'step3a_1hide' is defined but never used      no-unused-vars
   708:10  warning  'step3a_2hide' is defined but never used      no-unused-vars
   717:10  warning  'step3a_3hide' is defined but never used      no-unused-vars
   726:10  warning  'step3a_4hide' is defined but never used      no-unused-vars
   735:10  warning  'onoverjar' is defined but never used         no-unused-vars
   741:10  warning  'step3a_5hide' is defined but never used      no-unused-vars
   750:10  warning  'step3a_6hide' is defined but never used      no-unused-vars
   759:10  warning  'step3a_7hide' is defined but never used      no-unused-vars
   768:10  warning  'step3a_8hide' is defined but never used      no-unused-vars
   779:10  warning  'step1_3hide' is defined but never used       no-unused-vars
   793:10  warning  'cplate_stop' is defined but never used       no-unused-vars
   802:10  warning  'zoom_remote' is defined but never used       no-unused-vars
   815:7   warning  '$' is not defined                            no-undef
   823:10  warning  'Screenon_1' is defined but never used        no-unused-vars
   856:7   warning  '$' is not defined                            no-undef
   864:10  warning  'Screenon_2' is defined but never used        no-unused-vars
   877:7   warning  '$' is not defined                            no-undef
   884:10  warning  'Screenon_3' is defined but never used        no-unused-vars
   899:7   warning  '$' is not defined                            no-undef
   907:10  warning  'Screenon_4' is defined but never used        no-unused-vars
   926:7   warning  '$' is not defined                            no-undef
   933:10  warning  'Screenon_5' is defined but never used        no-unused-vars
   948:7   warning  '$' is not defined                            no-undef
   955:10  warning  'Screenon_6' is defined but never used        no-unused-vars
   979:7   warning  '$' is not defined                            no-undef
   986:10  warning  'wp2pre' is defined but never used            no-unused-vars
  1003:7   warning  '$' is not defined                            no-undef
  1009:10  warning  'wp2dot' is defined but never used            no-unused-vars
  1025:7   warning  '$' is not defined                            no-undef
  1032:10  warning  'wp3pre' is defined but never used            no-unused-vars
  1046:7   warning  '$' is not defined                            no-undef
  1053:10  warning  'wp3dot' is defined but never used            no-unused-vars
  1069:7   warning  '$' is not defined                            no-undef
  1076:10  warning  'wp4pre' is defined but never used            no-unused-vars
  1090:7   warning  '$' is not defined                            no-undef
  1097:10  warning  'wp4dot' is defined but never used            no-unused-vars
  1113:5   warning  '$' is not defined                            no-undef
  1120:10  warning  'joinpoint1' is defined but never used        no-unused-vars
  1140:7   warning  '$' is not defined                            no-undef
  1149:10  warning  'changeinfill1' is defined but never used     no-unused-vars
  1164:7   warning  '$' is not defined                            no-undef
  1170:10  warning  'changeinfill2' is defined but never used     no-unused-vars
  1185:7   warning  '$' is not defined                            no-undef
  1191:10  warning  'changeinfill3' is defined but never used     no-unused-vars
  1259:10  warning  'set_sprymin' is defined but never used       no-unused-vars
  1276:7   warning  '$' is not defined                            no-undef
  1283:10  warning  'set_sprymax' is defined but never used       no-unused-vars
  1299:7   warning  '$' is not defined                            no-undef
  1306:10  warning  'set_sprymin2' is defined but never used      no-unused-vars
  1327:7   warning  '$' is not defined                            no-undef
  1335:10  warning  'set_sprymax2' is defined but never used      no-unused-vars
  1418:9   warning  '$' is not defined                            no-undef
  1423:7   warning  '$' is not defined                            no-undef
  1440:10  warning  'loopUp2' is defined but never used           no-unused-vars
  1541:33  warning  '$' is not defined                            no-undef
  1544:33  warning  '$' is not defined                            no-undef
  1546:33  warning  '$' is not defined                            no-undef
  1547:33  warning  '$' is not defined                            no-undef
  1551:36  warning  Mixed spaces and tabs                         no-mixed-spaces-and-tabs
  1552:36  warning  Mixed spaces and tabs                         no-mixed-spaces-and-tabs
  1553:39  warning  '$' is not defined                            no-undef
  1565:33  warning  '$' is not defined                            no-undef
  1573:10  warning  'droneup2' is defined but never used          no-unused-vars
  1662:26  warning  Mixed spaces and tabs                         no-mixed-spaces-and-tabs
  1682:10  warning  'poweroff' is defined but never used          no-unused-vars
  1690:3   warning  '$' is not defined                            no-undef
  1701:10  warning  'zoomoutlast' is defined but never used       no-unused-vars
  1708:3   warning  '$' is not defined                            no-undef
  1722:10  warning  'close_anti_last' is defined but never used   no-unused-vars
  1736:4   warning  '$' is not defined                            no-undef
  1737:1   warning  '$' is not defined                            no-undef
  1744:2   warning  '$' is not defined                            no-undef
  1758:10  warning  'platelast_tb' is defined but never used      no-unused-vars
  1775:7   warning  '$' is not defined                            no-undef
  1920:5   warning  '$' is not defined                            no-undef
  1931:5   warning  'i' is already defined                        no-redeclare
  1932:5   warning  'txt' is already defined                      no-redeclare
  1933:5   warning  'speed' is already defined                    no-redeclare
  2054:10  warning  'open_anti' is defined but never used         no-unused-vars
  2077:9   warning  '$' is not defined                            no-undef
  2085:10  warning  'fit_battry' is defined but never used        no-unused-vars
  2157:10  warning  'navNext6' is defined but never used          no-unused-vars
  2167:4   warning  '$' is not defined                            no-undef
  2185:10  warning  'ansshw_c4' is defined but never used         no-unused-vars
  2231:10  warning  'ansshw_c8' is defined but never used         no-unused-vars
  2270:10  warning  'ansshw_c9' is defined but never used         no-unused-vars
  2308:10  warning  'ansshw_c10' is defined but never used        no-unused-vars
  2347:10  warning  'navNext9' is defined but never used          no-unused-vars
  2360:4   warning  '$' is not defined                            no-undef
  2368:10  warning  'navNext10' is defined but never used         no-unused-vars
  2379:10  warning  'navNext11' is defined but never used         no-unused-vars
  2382:2   warning  Mixed spaces and tabs                         no-mixed-spaces-and-tabs
  2383:2   warning  Mixed spaces and tabs                         no-mixed-spaces-and-tabs
  2384:2   warning  Mixed spaces and tabs                         no-mixed-spaces-and-tabs
  2386:2   warning  Mixed spaces and tabs                         no-mixed-spaces-and-tabs
  2388:31  warning  '$' is not defined                            no-undef
  2393:10  warning  'bhu' is defined but never used               no-unused-vars
  2401:10  warning  'reset' is defined but never used             no-unused-vars

✖ 300 problems (0 errors, 300 warnings)
  0 errors and 1 warning potentially fixable with the `--fix` option.

